Unnamed: 0, TimeSerie                                   , Algorithm                                                                         , c-index   ,   accuracy ,   precision ,    recall ,        f1 ,   Roc-Auc , Distribution                                                             ,Unnamed: 10
, fish and fish products                      , <scipy.stats._continuous_distns.norm_gen object at 0x789c2ec8ec50>_Cerceira       ,           ,  0.7375    ,    0.583333 , 0.56      , 0.571429  ,           , <scipy.stats._continuous_distns.norm_gen object at 0x789c2ec8ec50>       ,
, fish and fish products                      , <scipy.stats._continuous_distns.laplace_gen object at 0x789c2e633130>_Cerceira    ,           ,  0.7375    ,    0.583333 , 0.56      , 0.571429  ,           , <scipy.stats._continuous_distns.laplace_gen object at 0x789c2e633130>    ,
, fish and fish products                      , <scipy.stats._continuous_distns.logistic_gen object at 0x789c2e6584f0>_Cerceira   ,           ,  0.7375    ,    0.583333 , 0.56      , 0.571429  ,           , <scipy.stats._continuous_distns.logistic_gen object at 0x789c2e6584f0>   ,
, fish and fish products                      , <scipy.stats._continuous_distns.gumbel_r_gen object at 0x789c2e632bc0>_Cerceira   ,           ,  0.65      ,    0.468085 , 0.88      , 0.611111  ,           , <scipy.stats._continuous_distns.gumbel_r_gen object at 0x789c2e632bc0>   ,
, fish and fish products                      , <scipy.stats._continuous_distns.lognorm_gen object at 0x789c2e658fd0>_Cerceira    ,           ,  0.75      ,    0.586207 , 0.68      , 0.62963   ,           , <scipy.stats._continuous_distns.lognorm_gen object at 0x789c2e658fd0>    ,
, fish and fish products                      , <scipy.stats._continuous_distns.cauchy_gen object at 0x789c2e601f60>_Cerceira     ,           ,  0.7375    ,    0.583333 , 0.56      , 0.571429  ,           , <scipy.stats._continuous_distns.cauchy_gen object at 0x789c2e601f60>     ,
, meat and meat products (other than poultry) , <scipy.stats._continuous_distns.genextreme_gen object at 0x789c2e6033d0>_Cerceira ,           ,  0.960526  ,    0.960526 , 1         , 0.979866  ,           , <scipy.stats._continuous_distns.genextreme_gen object at 0x789c2e6033d0> ,
, meat and meat products (other than poultry) , <scipy.stats._continuous_distns.norm_gen object at 0x789c2ec8ec50>_Cerceira       ,           ,  0.960526  ,    0.960526 , 1         , 0.979866  ,           , <scipy.stats._continuous_distns.norm_gen object at 0x789c2ec8ec50>       ,
, meat and meat products (other than poultry) , <scipy.stats._continuous_distns.laplace_gen object at 0x789c2e633130>_Cerceira    ,           ,  0.960526  ,    0.960526 , 1         , 0.979866  ,           , <scipy.stats._continuous_distns.laplace_gen object at 0x789c2e633130>    ,
, meat and meat products (other than poultry) , <scipy.stats._continuous_distns.logistic_gen object at 0x789c2e6584f0>_Cerceira   ,           ,  0.960526  ,    0.960526 , 1         , 0.979866  ,           , <scipy.stats._continuous_distns.logistic_gen object at 0x789c2e6584f0>   ,
, meat and meat products (other than poultry) , <scipy.stats._continuous_distns.gumbel_r_gen object at 0x789c2e632bc0>_Cerceira   ,           ,  0.960526  ,    0.960526 , 1         , 0.979866  ,           , <scipy.stats._continuous_distns.gumbel_r_gen object at 0x789c2e632bc0>   ,
, meat and meat products (other than poultry) , <scipy.stats._continuous_distns.lognorm_gen object at 0x789c2e658fd0>_Cerceira    ,           ,  0.960526  ,    0.960526 , 1         , 0.979866  ,           , <scipy.stats._continuous_distns.lognorm_gen object at 0x789c2e658fd0>    ,
, meat and meat products (other than poultry) , <scipy.stats._continuous_distns.cauchy_gen object at 0x789c2e601f60>_Cerceira     ,           ,  0.960526  ,    0.960526 , 1         , 0.979866  ,           , <scipy.stats._continuous_distns.cauchy_gen object at 0x789c2e601f60>     ,
, herbs and spices                            , <scipy.stats._continuous_distns.genextreme_gen object at 0x789c2e6033d0>_Cerceira ,           ,  0.683544  ,    0.681159 , 0.94      , 0.789916  ,           , <scipy.stats._continuous_distns.genextreme_gen object at 0x789c2e6033d0> ,
, herbs and spices                            , <scipy.stats._continuous_distns.norm_gen object at 0x789c2ec8ec50>_Cerceira       ,           ,  0.683544  ,    0.755102 , 0.74      , 0.747475  ,           , <scipy.stats._continuous_distns.norm_gen object at 0x789c2ec8ec50>       ,
, herbs and spices                            , <scipy.stats._continuous_distns.laplace_gen object at 0x789c2e633130>_Cerceira    ,           ,  0.683544  ,    0.755102 , 0.74      , 0.747475  ,           , <scipy.stats._continuous_distns.laplace_gen object at 0x789c2e633130>    ,
, herbs and spices                            , <scipy.stats._continuous_distns.logistic_gen object at 0x789c2e6584f0>_Cerceira   ,           ,  0.683544  ,    0.755102 , 0.74      , 0.747475  ,           , <scipy.stats._continuous_distns.logistic_gen object at 0x789c2e6584f0>   ,
, herbs and spices                            , <scipy.stats._continuous_distns.gumbel_r_gen object at 0x789c2e632bc0>_Cerceira   ,           ,  0.683544  ,    0.681159 , 0.94      , 0.789916  ,           , <scipy.stats._continuous_distns.gumbel_r_gen object at 0x789c2e632bc0>   ,
, herbs and spices                            , <scipy.stats._continuous_distns.lognorm_gen object at 0x789c2e658fd0>_Cerceira    ,           ,  0.670886  ,    0.730769 , 0.76      , 0.745098  ,           , <scipy.stats._continuous_distns.lognorm_gen object at 0x789c2e658fd0>    ,
, herbs and spices                            , <scipy.stats._continuous_distns.cauchy_gen object at 0x789c2e601f60>_Cerceira     ,           ,  0.683544  ,    0.755102 , 0.74      , 0.747475  ,           , <scipy.stats._continuous_distns.cauchy_gen object at 0x789c2e601f60>     ,
, cereals                                     , <scipy.stats._continuous_distns.genextreme_gen object at 0x789c2e6033d0>_Cerceira ,           ,  0.658228  ,    0.653846 , 1         , 0.790698  ,           , <scipy.stats._continuous_distns.genextreme_gen object at 0x789c2e6033d0> ,
, cereals                                     , <scipy.stats._continuous_distns.norm_gen object at 0x789c2ec8ec50>_Cerceira       ,           ,  0.708861  ,    0.733333 , 0.862745  , 0.792793  ,           , <scipy.stats._continuous_distns.norm_gen object at 0x789c2ec8ec50>       ,
, cereals                                     , <scipy.stats._continuous_distns.laplace_gen object at 0x789c2e633130>_Cerceira    ,           ,  0.708861  ,    0.733333 , 0.862745  , 0.792793  ,           , <scipy.stats._continuous_distns.laplace_gen object at 0x789c2e633130>    ,
, cereals                                     , <scipy.stats._continuous_distns.logistic_gen object at 0x789c2e6584f0>_Cerceira   ,           ,  0.708861  ,    0.733333 , 0.862745  , 0.792793  ,           , <scipy.stats._continuous_distns.logistic_gen object at 0x789c2e6584f0>   ,
, cereals                                     , <scipy.stats._continuous_distns.gumbel_r_gen object at 0x789c2e632bc0>_Cerceira   ,           ,  0.658228  ,    0.653846 , 1         , 0.790698  ,           , <scipy.stats._continuous_distns.gumbel_r_gen object at 0x789c2e632bc0>   ,
